listing_id,listing_package_type,ask_price,listing_status,plus_price,premium_price,raketen_price,publication_date,scrap_date
19489376,basic,395000,for_sale,600,2000,1119,1/9/23,2023
18382541,basic,395000,for_sale,510,2700,999,3/5/22,2022
19467776,basic,395000,for_sale,500,1900,609,1/6/23,2023
19487737,basic,395000,for_sale,500,1700,609,1/6/23,2023
19490555,basic,395000,for_sale,500,1600,609,1/9/23,2023
18377376,basic,395000,for_sale,460,1950,799,3/4/22,2022
18381220,plus,395000,for_sale,450,1940,399.5,3/4/22,2022
18379082,plus,395000,for_sale,330,1820,224.5,3/4/22,2022
18376798,basic,395000,for_sale,330,1820,449,3/4/22,2022
18375157,plus,395000,for_sale,330,1820,224.5,3/3/22,2022
18380295,basic,400000,for_sale,460,1950,799,3/4/22,2022
18377098,plus,400000,for_sale,460,2650,399.5,3/4/22,2022
19485095,premium,425000,for_sale,600,2100,414.5,1/5/23,2023
19488455,basic,425000,for_sale,500,1900,1119,1/8/23,2023
18380920,basic,425000,for_sale,350,1840,449,3/4/22,2022
18353656,basic,425000,for_sale,350,2540,449,3/4/22,2022
18374575,plus,435000,for_sale,330,2520,224.5,3/3/22,2022
18380645,plus,445000,for_sale,310,1800,224.5,3/4/22,2022
19434275,plus,450000,for_sale,800,2000,559.5,1/9/23,2023
19153476,basic,450000,for_sale,700,2100,829,1/5/23,2023
19489016,basic,450000,for_sale,600,1700,829,1/9/23,2023
19490695,basic,450000,for_sale,600,1600,609,1/9/23,2023
18380526,plus,450000,for_sale,450,1940,399.5,3/4/22,2022
18377196,plus,450000,for_sale,410,1900,399.5,3/4/22,2022
18381675,basic,450000,for_sale,350,1840,449,3/4/22,2022
18381035,basic,450000,for_sale,310,1800,449,3/4/22,2022
18375735,plus,450000,for_sale,310,1800,224.5,3/3/22,2022
19489238,basic,465000,for_sale,600,2000,829,1/9/23,2023
19488555,premium,465000,for_sale,500,2100,414.5,1/7/23,2023
19411315,basic,475000,for_sale,600,1700,829,1/6/23,2023
19418835,basic,475000,for_sale,600,1700,829,1/5/23,2023
18380746,basic,475000,for_sale,330,1820,449,3/4/22,2022
